dataset,model,seed,split_seed,train_split,val_split,test_split,Accuracy,Statistical Parity Difference,Equal Opportunity Difference,Overall Accuracy Equality Difference,Treatment Equality Difference,diagnostics_n_test,diagnostics_n_S0,diagnostics_n_S1,diagnostics_n_pos_S0,diagnostics_n_pos_S1,diagnostics_TPR_denom_S0,diagnostics_TPR_denom_S1,diagnostics_FPR_denom_S0,diagnostics_FPR_denom_S1,diagnostics_pred_pos_overall,diagnostics_pred_pos_S0,diagnostics_pred_pos_S1,diagnostics_TPR_S0,diagnostics_TPR_S1,diagnostics_FPR_S0,diagnostics_FPR_S1
bail,GCN,15,42,,,,0.5627,0.0000,0.0000,0.4403,0.0000,,,,,,,,,,,,,,,,
bail,GCN,16,42,,,,0.5627,0.0021,0.0035,0.4403,178.3973,,,,,,,,,,,,,,,,
bail,GCN,17,42,,,,0.5638,0.0131,0.0148,0.4340,175.3838,,,,,,,,,,,,,,,,
bail,GCN,18,42,,,,0.5648,0.0179,0.0143,0.4319,169.3569,,,,,,,,,,,,,,,,
bail,GCN,19,42,,,,0.5664,0.0253,0.0303,0.4277,41.8872,,,,,,,,,,,,,,,,
bail,GCN,20,42,,,,0.5627,0.0000,0.0000,0.4403,0.0000,,,,,,,,,,,,,,,,
bail,GCN,21,42,,,,0.5627,0.0000,0.0000,0.4403,0.0000,,,,,,,,,,,,,,,,
bail,GCN,22,42,,,,0.5627,0.0000,0.0000,0.4403,0.0000,,,,,,,,,,,,,,,,
bail,GCN,23,42,,,,0.5627,0.0263,0.0270,0.4361,86.1852,,,,,,,,,,,,,,,,
bail,GCN,24,42,,,,0.5627,0.0000,0.0000,0.4403,0.0000,,,,,,,,,,,,,,,,
bail,GCN,25,42,,,,0.5627,0.0000,0.0000,0.4403,0.0000,,,,,,,,,,,,,,,,
bail,GCN,26,42,,,,0.5633,0.0063,0.0076,0.4339,369.0000,,,,,,,,,,,,,,,,
bail,GCN,27,42,,,,0.5627,0.0000,0.0000,0.4403,0.0000,,,,,,,,,,,,,,,,
bail,GCN,28,42,,,,0.5627,0.0000,0.0000,0.4403,0.0000,,,,,,,,,,,,,,,,
bail,GCN,29,42,,,,0.5622,0.0042,0.0062,0.4295,123.0000,,,,,,,,,,,,,,,,
bail,GAT,0,42,,,,0.5627,0.0000,0.0000,0.4403,0.0000,,,,,,,,,,,,,,,,
bail,GAT,1,42,,,,0.3462,0.3390,0.3127,0.4982,2.8008,,,,,,,,,,,,,,,,
bail,GAT,2,42,,,,0.5638,0.0210,0.0166,0.4382,84.0758,,,,,,,,,,,,,,,,
bail,GAT,3,42,,,,0.5627,0.0000,0.0000,0.4403,0.0000,,,,,,,,,,,,,,,,
bail,GAT,4,42,,,,0.5627,0.0000,0.0000,0.4403,0.0000,,,,,,,,,,,,,,,,
