dataset,model,seed,split_seed,train_split,val_split,test_split,Accuracy,Statistical Parity Difference,Equal Opportunity Difference,Overall Accuracy Equality Difference,Treatment Equality Difference,diagnostics_n_test,diagnostics_n_S0,diagnostics_n_S1,diagnostics_n_pos_S0,diagnostics_n_pos_S1,diagnostics_TPR_denom_S0,diagnostics_TPR_denom_S1,diagnostics_FPR_denom_S0,diagnostics_FPR_denom_S1,diagnostics_pred_pos_overall,diagnostics_pred_pos_S0,diagnostics_pred_pos_S1,diagnostics_TPR_S0,diagnostics_TPR_S1,diagnostics_FPR_S0,diagnostics_FPR_S1
german,GIN,8,42,,,,0.7030,0.0526,0.0625,0.2754,1.0000,,,,,,,,,,,,,,,,
german,GIN,9,42,,,,0.7228,0.0000,0.0000,0.3281,0.0000,,,,,,,,,,,,,,,,
german,GIN,10,42,,,,0.7228,0.0000,0.0000,0.3281,0.0000,,,,,,,,,,,,,,,,
german,GIN,11,42,,,,0.7228,0.0000,0.0000,0.3281,0.0000,,,,,,,,,,,,,,,,
german,GIN,12,42,,,,0.7228,0.0000,0.0000,0.3281,0.0000,,,,,,,,,,,,,,,,
german,GIN,13,42,,,,0.7228,0.0000,0.0000,0.3281,0.0000,,,,,,,,,,,,,,,,
german,GIN,14,42,,,,0.7228,0.0000,0.0000,0.3281,0.0000,,,,,,,,,,,,,,,,
german,GIN,15,42,,,,0.7228,0.0000,0.0000,0.3281,0.0000,,,,,,,,,,,,,,,,
german,GIN,16,42,,,,0.7129,0.0909,0.0625,0.2754,3.6667,,,,,,,,,,,,,,,,
german,GIN,17,42,,,,0.7228,0.0000,0.0000,0.3281,0.0000,,,,,,,,,,,,,,,,
german,GIN,18,42,,,,0.7228,0.0000,0.0000,0.3281,0.0000,,,,,,,,,,,,,,,,
german,GIN,19,42,,,,0.7228,0.0000,0.0000,0.3281,0.0000,,,,,,,,,,,,,,,,
german,GIN,20,42,,,,0.7228,0.0000,0.0000,0.3281,0.0000,,,,,,,,,,,,,,,,
german,GIN,21,42,,,,0.7228,0.0000,0.0000,0.3281,0.0000,,,,,,,,,,,,,,,,
german,GIN,22,42,,,,0.7228,0.0000,0.0000,0.3281,0.0000,,,,,,,,,,,,,,,,
german,GIN,23,42,,,,0.7228,0.0000,0.0000,0.3281,0.0000,,,,,,,,,,,,,,,,
german,GIN,24,42,,,,0.7228,0.0000,0.0000,0.3281,0.0000,,,,,,,,,,,,,,,,
german,GIN,25,42,,,,0.7228,0.0000,0.0000,0.3281,0.0000,,,,,,,,,,,,,,,,
german,GIN,26,42,,,,0.7228,0.0000,0.0000,0.3281,0.0000,,,,,,,,,,,,,,,,
german,GIN,27,42,,,,0.6436,0.1632,0.1630,0.1914,7.7321,,,,,,,,,,,,,,,,
german,GIN,28,42,,,,0.6634,0.2424,0.1821,0.2333,3.7282,,,,,,,,,,,,,,,,
german,GIN,29,42,,,,0.7228,0.0000,0.0000,0.3281,0.0000,,,,,,,,,,,,,,,,
bail,GCN,0,42,,,,0.8555,0.1449,0.2526,0.1007,0.2118,,,,,,,,,,,,,,,,
bail,GCN,1,42,,,,0.8491,0.1312,0.1877,0.0687,0.2057,,,,,,,,,,,,,,,,
bail,GCN,2,42,,,,0.8264,0.1510,0.2568,0.0684,0.1315,,,,,,,,,,,,,,,,
bail,GCN,3,42,,,,0.8555,0.0882,0.2141,0.1240,0.3083,,,,,,,,,,,,,,,,
bail,GCN,4,42,,,,0.8502,0.0672,0.1031,0.1090,0.5719,,,,,,,,,,,,,,,,
bail,GCN,5,42,,,,0.8666,0.1340,0.2411,0.1179,0.3652,,,,,,,,,,,,,,,,
bail,GCN,6,42,,,,0.8682,0.1585,0.2739,0.1010,0.3554,,,,,,,,,,,,,,,,
bail,GCN,7,42,,,,0.8380,0.1726,0.2784,0.0772,0.1105,,,,,,,,,,,,,,,,
bail,GCN,8,42,,,,0.8020,0.0515,0.0994,0.0694,0.2006,,,,,,,,,,,,,,,,
bail,GCN,9,42,,,,0.8137,0.0538,0.1079,0.0705,0.1422,,,,,,,,,,,,,,,,
bail,GCN,10,42,,,,0.8528,0.1252,0.2208,0.1156,0.3419,,,,,,,,,,,,,,,,
bail,GCN,11,42,,,,0.8100,0.0574,0.1662,0.0830,0.3770,,,,,,,,,,,,,,,,
bail,GCN,12,42,,,,0.8078,0.1367,0.1757,0.0301,0.0863,,,,,,,,,,,,,,,,
bail,GCN,13,42,,,,0.7882,0.1335,0.2043,0.0497,0.0734,,,,,,,,,,,,,,,,
bail,GCN,14,42,,,,0.8597,0.1487,0.2332,0.0837,0.1949,,,,,,,,,,,,,,,,
bail,GCN,15,42,,,,0.8348,0.0739,0.1410,0.0877,0.3030,,,,,,,,,,,,,,,,
bail,GCN,16,42,,,,0.8539,0.0966,0.0843,0.1466,0.9042,,,,,,,,,,,,,,,,
bail,GCN,17,42,,,,0.8280,0.1158,0.1731,0.0466,0.1204,,,,,,,,,,,,,,,,
bail,GCN,18,42,,,,0.8184,0.1033,0.1491,0.0705,0.2483,,,,,,,,,,,,,,,,
bail,GCN,19,42,,,,0.8581,0.1508,0.2593,0.0927,0.1696,,,,,,,,,,,,,,,,
bail,GCN,20,42,,,,0.8460,0.0926,0.1456,0.0947,0.2664,,,,,,,,,,,,,,,,
bail,GCN,21,42,,,,0.8613,0.0534,0.0707,0.1174,0.5428,,,,,,,,,,,,,,,,
bail,GCN,22,42,,,,0.8587,0.1641,0.2787,0.1030,0.1995,,,,,,,,,,,,,,,,
bail,GCN,23,42,,,,0.8110,0.1342,0.1835,0.0427,0.1753,,,,,,,,,,,,,,,,
bail,GCN,24,42,,,,0.8168,0.1259,0.1915,0.0706,0.1780,,,,,,,,,,,,,,,,
bail,GCN,25,42,,,,0.8497,0.1714,0.2650,0.0730,0.1440,,,,,,,,,,,,,,,,
bail,GCN,26,42,,,,0.8444,0.1064,0.2144,0.1028,0.2820,,,,,,,,,,,,,,,,
bail,GCN,27,42,,,,0.7618,0.1188,0.2262,0.0687,0.0503,,,,,,,,,,,,,,,,
bail,GCN,28,42,,,,0.8512,0.1427,0.2548,0.1006,0.2339,,,,,,,,,,,,,,,,
bail,GCN,29,42,,,,0.8100,0.1172,0.2631,0.0811,0.1727,,,,,,,,,,,,,,,,
bail,GAT,0,42,,,,0.6210,0.0000,0.0000,0.1938,0.0000,,,,,,,,,,,,,,,,
bail,GAT,1,42,,,,0.3949,0.0403,0.0000,0.1943,0.0000,,,,,,,,,,,,,,,,
bail,GAT,2,42,,,,0.6210,0.2232,0.2572,0.1509,0.3099,,,,,,,,,,,,,,,,
bail,GAT,3,42,,,,0.6591,0.1215,0.1959,0.1580,0.1378,,,,,,,,,,,,,,,,
bail,GAT,4,42,,,,0.6088,0.1659,0.1571,0.0984,0.2055,,,,,,,,,,,,,,,,
bail,GAT,5,42,,,,0.7141,0.1668,0.2125,0.0786,0.4822,,,,,,,,,,,,,,,,
bail,GAT,6,42,,,,0.6210,0.0000,0.0000,0.1938,0.0000,,,,,,,,,,,,,,,,
bail,GAT,7,42,,,,0.3790,0.0000,0.0000,0.1938,0.0000,,,,,,,,,,,,,,,,
bail,GAT,8,42,,,,0.6003,0.1541,0.1074,0.2230,45.2174,,,,,,,,,,,,,,,,
bail,GAT,9,42,,,,0.5982,0.4018,0.1056,0.4936,117.3151,,,,,,,,,,,,,,,,
bail,GAT,10,42,,,,0.5696,0.7386,0.7414,0.1963,4.7785,,,,,,,,,,,,,,,,
bail,GAT,11,42,,,,0.6210,0.0000,0.0000,0.1938,0.0000,,,,,,,,,,,,,,,,
bail,GAT,12,42,,,,0.3780,0.0063,0.0153,0.1937,146.6899,,,,,,,,,,,,,,,,
bail,GAT,13,42,,,,0.6210,0.0000,0.0000,0.1938,0.0000,,,,,,,,,,,,,,,,
bail,GAT,14,42,,,,0.3790,0.0000,0.0000,0.1938,0.0000,,,,,,,,,,,,,,,,
bail,GAT,15,42,,,,0.8438,0.0669,0.0971,0.0498,0.2579,,,,,,,,,,,,,,,,
bail,GAT,16,42,,,,0.5844,0.1963,0.1107,0.1940,0.3371,,,,,,,,,,,,,,,,
bail,GAT,17,42,,,,0.7231,0.3119,0.6462,0.2050,0.4161,,,,,,,,,,,,,,,,
