dataset,model_a,model_b,metric,diff_mean,diff_std,diff_ci_low,diff_ci_high,n_seeds
bail,GAT+PFR,GIN+PFR,Equal Opportunity Difference,0.0190,0.0126,0.0122,0.0262,11
bail,GAT+PFR,GIN+PFR,Overall Accuracy Equality Difference,-0.0409,0.0188,-0.0505,-0.0296,11
bail,GAT+PFR,GIN+PFR,Treatment Equality Difference,0.0275,0.0262,0.0136,0.0421,11
bail,GCN,GCN+FAME,Accuracy,-0.0451,0.0660,-0.0626,-0.0251,50
bail,GCN,GCN+FAME,Statistical Parity Difference,-0.0132,0.0214,-0.0193,-0.0079,50
bail,GCN,GCN+FAME,Equal Opportunity Difference,-0.0079,0.0130,-0.0116,-0.0043,50
bail,GCN,GCN+FAME,Overall Accuracy Equality Difference,0.0111,0.0150,0.0070,0.0154,50
bail,GCN,GCN+FAME,Treatment Equality Difference,85.2202,99.3992,57.9758,111.4225,50
bail,GCN,GCN+FAME+PFR,Accuracy,-0.0949,0.1102,-0.1640,-0.0350,10
bail,GCN,GCN+FAME+PFR,Statistical Parity Difference,0.0022,0.0321,-0.0160,0.0215,10
bail,GCN,GCN+FAME+PFR,Equal Opportunity Difference,0.0080,0.0396,-0.0131,0.0346,10
bail,GCN,GCN+FAME+PFR,Overall Accuracy Equality Difference,0.0053,0.0312,-0.0130,0.0231,10
bail,GCN,GCN+FAME+PFR,Treatment Equality Difference,-27.4649,68.0889,-73.6677,6.3381,10
bail,GCN,GCN+PFR,Accuracy,-0.0020,0.0049,-0.0055,0.0002,10
bail,GCN,GCN+PFR,Statistical Parity Difference,-0.0016,0.0069,-0.0060,0.0018,10
bail,GCN,GCN+PFR,Equal Opportunity Difference,0.0004,0.0053,-0.0026,0.0035,10
bail,GCN,GCN+PFR,Overall Accuracy Equality Difference,-0.0025,0.0071,-0.0073,0.0006,10
bail,GCN,GCN+PFR,Treatment Equality Difference,-0.2281,2.1883,-1.6724,0.9038,10
bail,GCN,GIN,Accuracy,0.1708,0.1258,0.1341,0.2024,50
bail,GCN,GIN,Statistical Parity Difference,0.0358,0.0238,0.0288,0.0421,50
bail,GCN,GIN,Equal Opportunity Difference,0.0153,0.0186,0.0101,0.0204,50
bail,GCN,GIN,Overall Accuracy Equality Difference,-0.0313,0.0178,-0.0360,-0.0264,50
bail,GCN,GIN,Treatment Equality Difference,-26.7398,57.5074,-43.2797,-13.0333,50
bail,GCN,GIN+PFR,Accuracy,0.1041,0.1598,0.0055,0.1883,10
bail,GCN,GIN+PFR,Statistical Parity Difference,0.0383,0.0212,0.0242,0.0500,10
bail,GCN,GIN+PFR,Equal Opportunity Difference,0.0091,0.0168,-0.0012,0.0188,10
bail,GCN,GIN+PFR,Overall Accuracy Equality Difference,-0.0340,0.0232,-0.0467,-0.0202,10
bail,GCN,GIN+PFR,Treatment Equality Difference,-37.6709,58.9139,-75.9518,-12.0027,10
bail,GCN+FAME,GCN+FAME+PFR,Accuracy,-0.0615,0.1076,-0.1361,-0.0086,10
bail,GCN+FAME,GCN+FAME+PFR,Statistical Parity Difference,0.0104,0.0232,-0.0015,0.0259,10
bail,GCN+FAME,GCN+FAME+PFR,Equal Opportunity Difference,0.0128,0.0312,-0.0030,0.0336,10
bail,GCN+FAME,GCN+FAME+PFR,Overall Accuracy Equality Difference,-0.0038,0.0219,-0.0182,0.0066,10
bail,GCN+FAME,GCN+FAME+PFR,Treatment Equality Difference,-116.9772,80.7436,-166.8709,-73.6490,10
bail,GCN+FAME,GCN+PFR,Accuracy,0.0314,0.0411,0.0096,0.0594,10
bail,GCN+FAME,GCN+PFR,Statistical Parity Difference,0.0067,0.0124,-0.0001,0.0143,10
bail,GCN+FAME,GCN+PFR,Equal Opportunity Difference,0.0052,0.0102,-0.0005,0.0113,10
bail,GCN+FAME,GCN+PFR,Overall Accuracy Equality Difference,-0.0116,0.0216,-0.0258,-0.0007,10
bail,GCN+FAME,GCN+PFR,Treatment Equality Difference,-89.7403,124.8138,-158.6147,-9.6126,10
bail,GCN+FAME,GIN,Accuracy,0.2159,0.1103,0.1809,0.2438,50
bail,GCN+FAME,GIN,Statistical Parity Difference,0.0489,0.0156,0.0446,0.0532,50
bail,GCN+FAME,GIN,Equal Opportunity Difference,0.0231,0.0146,0.0193,0.0273,50
bail,GCN+FAME,GIN,Overall Accuracy Equality Difference,-0.0424,0.0121,-0.0457,-0.0391,50
bail,GCN+FAME,GIN,Treatment Equality Difference,-111.9600,81.1315,-135.3723,-89.1969,50
bail,GCN+FAME,GIN+PFR,Accuracy,0.1374,0.1620,0.0410,0.2251,10
bail,GCN+FAME,GIN+PFR,Statistical Parity Difference,0.0465,0.0190,0.0340,0.0565,10
bail,GCN+FAME,GIN+PFR,Equal Opportunity Difference,0.0139,0.0127,0.0064,0.0213,10
bail,GCN+FAME,GIN+PFR,Overall Accuracy Equality Difference,-0.0431,0.0161,-0.0510,-0.0328,10
bail,GCN+FAME,GIN+PFR,Treatment Equality Difference,-127.1831,87.3073,-181.5611,-81.0403,10
bail,GCN+FAME+PFR,GCN+PFR,Accuracy,0.0945,0.1014,0.0419,0.1583,11
bail,GCN+FAME+PFR,GCN+PFR,Statistical Parity Difference,-0.0000,0.0303,-0.0178,0.0158,11
bail,GCN+FAME+PFR,GCN+PFR,Equal Opportunity Difference,-0.0046,0.0361,-0.0256,0.0130,11
bail,GCN+FAME+PFR,GCN+PFR,Overall Accuracy Equality Difference,-0.0095,0.0325,-0.0263,0.0078,11
bail,GCN+FAME+PFR,GCN+PFR,Treatment Equality Difference,24.8370,65.1065,-6.7896,66.8776,11
bail,GCN+FAME+PFR,GIN,Accuracy,0.1632,0.1675,0.0574,0.2541,10
bail,GCN+FAME+PFR,GIN,Statistical Parity Difference,0.0270,0.0324,0.0080,0.0461,10
bail,GCN+FAME+PFR,GIN,Equal Opportunity Difference,0.0003,0.0382,-0.0246,0.0205,10
bail,GCN+FAME+PFR,GIN,Overall Accuracy Equality Difference,-0.0300,0.0270,-0.0453,-0.0136,10
bail,GCN+FAME+PFR,GIN,Treatment Equality Difference,-10.2167,22.5821,-25.8449,-1.3210,10
bail,GCN+FAME+PFR,GIN+PFR,Accuracy,0.1704,0.1979,0.0511,0.2763,11
bail,GCN+FAME+PFR,GIN+PFR,Statistical Parity Difference,0.0336,0.0291,0.0164,0.0487,11
bail,GCN+FAME+PFR,GIN+PFR,Equal Opportunity Difference,0.0014,0.0314,-0.0166,0.0170,11
bail,GCN+FAME+PFR,GIN+PFR,Overall Accuracy Equality Difference,-0.0363,0.0295,-0.0515,-0.0173,11
bail,GCN+FAME+PFR,GIN+PFR,Treatment Equality Difference,-9.2781,21.6298,-22.4623,-0.4820,11
bail,GCN+PFR,GIN,Accuracy,0.0703,0.1874,-0.0395,0.1785,10
bail,GCN+PFR,GIN,Statistical Parity Difference,0.0307,0.0193,0.0205,0.0426,10
bail,GCN+PFR,GIN,Equal Opportunity Difference,0.0079,0.0135,0.0000,0.0159,10
bail,GCN+PFR,GIN,Overall Accuracy Equality Difference,-0.0223,0.0302,-0.0392,-0.0040,10
bail,GCN+PFR,GIN,Treatment Equality Difference,-37.4536,59.1913,-76.6716,-10.9164,10
bail,GCN+PFR,GIN+PFR,Accuracy,0.0759,0.1796,-0.0282,0.1684,11
bail,GCN+PFR,GIN+PFR,Statistical Parity Difference,0.0336,0.0269,0.0184,0.0469,11
bail,GCN+PFR,GIN+PFR,Equal Opportunity Difference,0.0060,0.0176,-0.0039,0.0159,11
bail,GCN+PFR,GIN+PFR,Overall Accuracy Equality Difference,-0.0268,0.0297,-0.0429,-0.0087,11
bail,GCN+PFR,GIN+PFR,Treatment Equality Difference,-34.1151,57.2528,-72.4299,-9.5374,11
bail,GIN,GIN+PFR,Accuracy,0.0357,0.1460,-0.0418,0.1295,10
bail,GIN,GIN+PFR,Statistical Parity Difference,0.0091,0.0146,0.0002,0.0168,10
bail,GIN,GIN+PFR,Equal Opportunity Difference,0.0008,0.0130,-0.0066,0.0087,10
bail,GIN,GIN+PFR,Overall Accuracy Equality Difference,-0.0093,0.0098,-0.0146,-0.0031,10
bail,GIN,GIN+PFR,Treatment Equality Difference,0.0108,0.0436,-0.0156,0.0351,10
credit,GAT,GAT+FAME,Accuracy,0.1532,0.2251,0.0914,0.2174,50
credit,GAT,GAT+FAME,Statistical Parity Difference,-0.0121,0.0487,-0.0255,0.0003,50
credit,GAT,GAT+FAME,Equal Opportunity Difference,-0.0156,0.0542,-0.0309,-0.0007,50
credit,GAT,GAT+FAME,Overall Accuracy Equality Difference,0.0104,0.0257,0.0036,0.0178,50
credit,GAT,GAT+FAME,Treatment Equality Difference,-1.2856,3.6289,-2.3995,-0.4379,50
credit,GAT,GAT+FAME+PFR,Accuracy,0.1902,0.2106,0.0742,0.3197,10
credit,GAT,GAT+FAME+PFR,Statistical Parity Difference,-0.0257,0.0544,-0.0609,0.0022,10
credit,GAT,GAT+FAME+PFR,Equal Opportunity Difference,-0.0328,0.0596,-0.0728,-0.0027,10
credit,GAT,GAT+FAME+PFR,Overall Accuracy Equality Difference,0.0278,0.0364,0.0075,0.0495,10
credit,GAT,GAT+FAME+PFR,Treatment Equality Difference,-2.7364,5.5953,-6.5618,-0.4391,10
credit,GAT,GAT+PFR,Accuracy,0.0121,0.2255,-0.1177,0.1434,10
credit,GAT,GAT+PFR,Statistical Parity Difference,0.0194,0.0743,-0.0222,0.0639,10
credit,GAT,GAT+PFR,Equal Opportunity Difference,0.0196,0.0853,-0.0279,0.0708,10
credit,GAT,GAT+PFR,Overall Accuracy Equality Difference,0.0058,0.0331,-0.0140,0.0233,10
credit,GAT,GAT+PFR,Treatment Equality Difference,14.6055,46.6653,-0.9186,44.4945,10
credit,GAT,GCN,Accuracy,0.1379,0.2392,0.0727,0.2071,50
credit,GAT,GCN,Statistical Parity Difference,0.0048,0.0723,-0.0131,0.0264,50
credit,GAT,GCN,Equal Opportunity Difference,-0.0000,0.0685,-0.0176,0.0203,50
credit,GAT,GCN,Overall Accuracy Equality Difference,0.0013,0.0300,-0.0068,0.0097,50
credit,GAT,GCN,Treatment Equality Difference,-1.0733,3.8268,-2.2736,-0.0952,50
credit,GAT,GCN+FAME,Accuracy,0.1624,0.2309,0.0987,0.2266,50
credit,GAT,GCN+FAME,Statistical Parity Difference,-0.0087,0.0436,-0.0210,0.0025,50
credit,GAT,GCN+FAME,Equal Opportunity Difference,-0.0086,0.0518,-0.0229,0.0049,50
